Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;label_based_generality;object_based_generality;name_based_generality;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right
Object;approval process;Existence1[update] | |;Unary;set();set();Existence;update;;159;{1} occurs at least {n} times;0.8397960759041359;0.882853113542151;0.0;{'approval process': 0.5653075575828552};0.5653075575828552;e48af731-b329-4341-931a-e46122e31be7_Object_approval process;0.5184073287779314;[];[]
Object;approval process;Exactly1[update] | |;Unary;set();set();Exactly;update;;152;{1} occurs exactly {n} times;0.8462544244666532;0.873846815144897;0.0;{'approval process': 0.5653075575828552};0.5653075575828552;3c266ad0-8196-44ff-90c1-cd21fccb4bff_Object_approval process;0.5179833433145759;[];[]
Object;activity logged task;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8523624191930707;0.8642438912270619;0.0;{'activity logged task': 0.5284497141838074};0.5284497141838074;191f146a-27c0-4b4c-907a-9393b51d45b4_Object_activity logged task;0.5756047427654266;[];[]
Object;activity logged task discovery qualification;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8523624191930707;0.8642438912270619;0.0;{'activity logged task discovery qualification': 0.5172278881072998};0.5172278881072998;191f146a-27c0-4b4c-907a-9393b51d45b4_Object_activity logged task discovery qualification;0.5655050992965698;[];[]
Object;activity logged task web;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8523624191930707;0.8642438912270619;0.0;{'activity logged task web': 0.5194416642189026};0.5194416642189026;191f146a-27c0-4b4c-907a-9393b51d45b4_Object_activity logged task web;0.5674974977970123;[];[]
Object;activity logged task questionnaire;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8523624191930707;0.8642438912270619;0.0;{'activity logged task questionnaire': 0.5497409701347351};0.5497409701347351;191f146a-27c0-4b4c-907a-9393b51d45b4_Object_activity logged task questionnaire;0.5947668731212616;[];[]
Object;activity logged task;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8501715713452549;0.868496878838999;0.0;{'activity logged task': 0.5284497141838074};0.5284497141838074;77dac1a4-28bf-4ec0-bfc5-e7aa3912baeb_Object_activity logged task;0.5750596185982552;[];[]
Object;activity logged task discovery qualification;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8501715713452549;0.868496878838999;0.0;{'activity logged task discovery qualification': 0.5172278881072998};0.5172278881072998;77dac1a4-28bf-4ec0-bfc5-e7aa3912baeb_Object_activity logged task discovery qualification;0.5649599751293984;[];[]
Object;activity logged task web;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8501715713452549;0.868496878838999;0.0;{'activity logged task web': 0.5194416642189026};0.5194416642189026;77dac1a4-28bf-4ec0-bfc5-e7aa3912baeb_Object_activity logged task web;0.5669523736298409;[];[]
Object;activity logged task questionnaire;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8501715713452549;0.868496878838999;0.0;{'activity logged task questionnaire': 0.5497409701347351};0.5497409701347351;77dac1a4-28bf-4ec0-bfc5-e7aa3912baeb_Object_activity logged task questionnaire;0.5942217489540902;[];[]
Object;lead;Exactly1[approve] | |;Unary;set();set();Exactly;approve;;37;{1} occurs exactly {n} times;0.7979643665207121;0.8377940036251508;0.0;{'lead': 0.5991355776786804};0.5991355776786804;53bd6898-5aee-4700-8d2e-0d2123f323cc_Object_lead;0.541463085931406;[];[]
Object;activity;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8536416223967647;0.8661583574377913;0.0;{'activity': 0.6948594450950623};0.6948594450950623;98a2cc2b-929c-44b8-affe-dd3fdd9a7c07_Object_activity;0.725373500585556;[];[]
Object;activity;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8517583536752555;0.8641914298223079;0.0;{'activity': 0.6948594450950623};0.6948594450950623;87dcf3e4-5053-43db-9d94-ec184fcd3eb5_Object_activity;0.7248283764183846;[];[]
Object;approval process;Exactly1[set] | |;Unary;set();set();Exactly;set;;142;{1} occurs exactly {n} times;0.8519861294199873;0.8778602452526253;0.0;{'approval process': 0.7352892756462097};0.7352892756462097;414b3b5e-0bda-4b3e-81f7-922764b55a67_Object_approval process;0.6703611960525155;[];[]
Object;approval process;Existence1[set] | |;Unary;set();set();Existence;set;;156;{1} occurs at least {n} times;0.8598269990297717;0.8748350667903315;0.0;{'approval process': 0.7352892756462097};0.7352892756462097;43c244a5-c394-4c29-980b-e1e7eed41afd_Object_approval process;0.6712091669792266;[];[]
Object;approval process;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8523403070642497;0.8668787350924767;0.0;{'approval process': 0.7352892756462097};0.7352892756462097;19aa7727-863c-492f-bed4-b59770b69669_Object_approval process;0.7617603480815888;[];[]
Object;approval process;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8522534114084646;0.8688606149415949;0.0;{'approval process': 0.7352892756462097};0.7352892756462097;e45cf6fb-0969-4e31-88a0-d1fa4e27f227_Object_approval process;0.7612152239144173;[];[]
Object;approval process;Exactly1[close] | |;Unary;set();set();Exactly;close;;41;{1} occurs exactly {n} times;0.8290814180556157;0.8623420559785258;0.0;{'approval process': 0.5609226226806641};0.5609226226806641;8bdf2a8d-0629-4d01-9cd0-b442c754b463_Object_approval process;0.507313703840823;[];[]
Object;approval process;Exactly1[set] | |;Unary;set();set();Exactly;set;;76;{1} occurs exactly {n} times;0.8427516434847221;0.8730592791724234;0.0;{'approval process': 0.628716230392456};0.628716230392456;bbe73385-fbd2-48ec-8feb-23bc83f9bafa_Object_approval process;0.5704478780982135;[];[]
Object;status;Exactly1[train] | |;Unary;set();set();Exactly;train;;487;{1} occurs exactly {n} times;0.8556257798975861;0.8638660689448827;0.0;{'status': 0.6281944513320923};0.6281944513320923;1a370986-d73e-4c35-beba-e2b633966d81_Object_status;0.5948722805780472;[];[]
Object;status;Existence1[train] | |;Unary;set();set();Existence;train;;513;{1} occurs at least {n} times;0.855938256010688;0.870016764030376;0.0;{'status': 0.6281944513320923};0.6281944513320923;37d2767d-43ae-4892-8c96-15d6d11e3a60_Object_status;0.5964470837276534;[];[]
Object;opportunity account;Exactly1[train] | |;Unary;set();set();Exactly;train;;487;{1} occurs exactly {n} times;0.8537928703081465;0.8633159631602755;0.0;{'opportunity account': 0.556143045425415};0.556143045425415;500aac13-bfd3-4e6d-867e-e94d8b74653f_Object_opportunity account;0.5300260152620377;[];[]
Object;opportunity account;Existence1[train] | |;Unary;set();set();Existence;train;;513;{1} occurs at least {n} times;0.8547059434656977;0.8648936336660867;0.0;{'opportunity account': 0.556143045425415};0.556143045425415;634b1b47-686a-4fe7-8f53-2dba5257274c_Object_opportunity account;0.531600818411644;[];[]
Object;customer contact role added contract;Exactly1[train] | |;Unary;set();set();Exactly;train;;487;{1} occurs exactly {n} times;0.8567423455399392;0.8642043478812061;0.0;{'customer contact role added contract': 0.534748375415802};0.534748375415802;99c01fe4-08ea-4f6f-bd5d-046f669b01b9_Object_customer contact role added contract;0.5107708122533859;[];[]
Object;customer contact role added contract;Existence1[train] | |;Unary;set();set();Existence;train;;513;{1} occurs at least {n} times;0.8552305499822689;0.8674407411347241;0.0;{'customer contact role added contract': 0.534748375415802};0.534748375415802;4301337f-83d6-4ef8-985a-a63a9d4b1c17_Object_customer contact role added contract;0.5123456154029923;[];[]
Object;customer contact role added contract;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8518949879883975;0.8631400024247071;0.0;{'customer contact role added contract': 0.5338097214698792};0.5338097214698792;a656c068-7f36-4ed9-aaca-84896115029e_Object_customer contact role added contract;0.5804287493228912;[];[]
Object;customer contact role added contract;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8527533957137228;0.8661517747071386;0.0;{'customer contact role added contract': 0.5338097214698792};0.5338097214698792;ec02f0b7-4a1a-46fd-a9a6-8c516b42859d_Object_customer contact role added contract;0.5798836251557198;[];[]
Object;opportunity account;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8511708331149113;0.8668362232961201;0.0;{'opportunity account': 0.556143045425415};0.556143045425415;dfe26179-3596-4770-9338-22f942867dd7_Object_opportunity account;0.6005287408828736;[];[]
Object;opportunity account;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8509575478647924;0.86615275550599;0.0;{'opportunity account': 0.556143045425415};0.556143045425415;44c3d417-ef5f-4eff-b9b2-b848f4d102ed_Object_opportunity account;0.5999836167157021;[];[]
Object;partner;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8542073437277001;0.8640358943239389;0.0;{'partner': 0.7199248671531677};0.7199248671531677;fdabea09-9d62-46e1-a772-56ca5f04d597_Object_partner;0.7479323804378509;[];[]
